realid,numberid,lab,treatment,response,ideology_ra,left,extreme
158,99,1,1,"There is a very large gap of economic inequality. But, I believe the government should only provide aid if the family or person has been proven that they are in search of a job. If a family or person is found not looking for a job, then they shouldn't be offered governement aid.",0,0,0
171,100,1,0,"I don't know much about economic inequality, but I do believe that the amount of money made by each person should depend on the type of job they have. If the jobs are very important and dangerous, people should make more money. Teachers, doctors, fire fighters and police officers are a huge part of each community. Although, I do believe that the size gap between jobs is very large and minimum wage should be raised slighty to help the poor become better off. Overall, everyone that's working to make a living should be able to provide for themselves and their families.",1,0,0
175,101,1,0,"i do think that economic inequality is in fact a problem in the U.S. Yet, most of the time people work to be in the position they are currently in, I do not think they should be suppressed while others benefit off the back of the hard workers who are not suffering financially. The biggest policy that should be implemented relates to taxes and that everyone should be paying a flat rate. It shouldn't differ based on income, it should be a set percent, everyone contributed 35%, otherwise it starts to seem unfair",1,0,1
177,102,1,0,"I do not believe in a plan to put higher taxes on the upper and middle class. However, I am a believer in implementing programs to help the lower class to have a better chance at having economic success. This is because I do not believe the upper class deserve to have things taken away from them even if they were born on third base. I also do not believe the lower class deserves to be given nothing because of either what they were born into, or what they have found themselves stuck in. It is very hard to find a way to balance the giving and taking though.",0,0,0
179,103,1,0,"It is a problem, because the statistic of the income is not in a normal distribution. The government should encourage the lower level to improve and provide more opportunities for them, which is a fair way to reduce the ecconomic inequality without affecting the upper level.",0,1,0
181,104,1,0,yes,0,1,0
204,105,1,1,"Economic inequality is a big issue in the US. the government should redistribute the wealth better by raising taxes on the rich. There are people rich enough in this country to pay for free higher education for all and still have plenty to live off of and I think that should not be possible. More funding needs to go into education and healthcare. Many problems in the US could be solved by the top 10% or even the top 1% but they are too greedy to actually use thier assets to help, instead they donate a small % of their wealth so they can look good and still get a tax write off for it.",1,1,1
210,106,1,1,"I do think that economic inequality is a problem in the United States. I believe the government should play a role. Some policies could be incresing taxes of those who are rich, spending money on public education/other facilities, and creating more welfare programs.",1,1,1
212,107,1,1,"The level of economic inequality in the United States is a problem; not the most pressing problem that we face, but still a problem. It may be necessary for the government to implement a more progressive wealth tax on those who can afford it, not necessarily an income tax. Beyond that, I'm not sure as I am not as versed in economics as I'd like to be.",1,1,0
214,108,1,1,"I think there is a large problem with the economic wage gap when America houses some of the richest people in the world, yet all of our urban cities are full of homeless people. There's no reason that a man can be worth over $1 billion, yet another man who could be just like him is living homeless on the streets. I don't know what per se that the government could do, as I'm concerned that whoever is in charge will just cause even bigger problems, but something needs to be done. There are some people, however, who take advantage of the government and its welfare system instead of opting to do work. Because of this, I think it will help if we encourage education in schools, painting education in a more positive light. Along with that, I believe we need to decrease tuition for universities so more people have access to good schools. We also need to strengthen our welfare system and be more selective with who receives welfare.",1,1,1
222,109,1,1,"I do not believe that income inequality is an issue in the U.S. Anybody in the country has the freedom to find and create jobs and support themselves. It does not matter who the individual is, everybody has a chance to be succesful in this country. The government should not have policies to that just give away money. Providing incentives for creating businesses may be a benefical policy to help create further economic growth.",0,0,1
226,110,1,1,Yes I think that economic inequality is a problem and we should reduce the gap between the rich and poor,1,1,0
230,111,1,1,I think the economic inequality is a problem in the United States because people's income are totally different between the rich men and mormal people. This peoblem may cause the conflict between groups and increase the burdern of poor people in society. I think government should do so but they may not achieve their goal because decrease the income gap is very difficult. The good policy for this problem may decrease the highest standard income for rich men or give them a higher tax rate.,1,0,0
234,112,1,1,yes it is. no. the world is unfair. the economic inequalify is the promotion of world development.,0,0,0
237,113,1,0,Yes I think economic inequality is a problem in the united states. I think the government should interfere by raising the tax rates of the wealthy. So often something awful happens and the more poor taxpayers suffer so much worse than those who have the means to actually do something to better the situation or their community/country.,1,1,1
241,114,1,0,"Yes I belive there is economic inequality in the US, but it is a really tricky subject to try and control. I belive this because if you are doing a more damanding and skilled job like being a doctor you should deserve to get paid a lot more than say a fast food worker. It would be ideal to implement polocies to try and reduce the gap but giving more money to one person means taking it away from another. People tend to think there is an endless supply of money to go around but there is not, this is a tough issue to deal with.",1,0,0
244,115,1,1,"There is economc inequality in this country, but it is not a problem because people at the top have earned their money and people at the bottom have not. That's just how capitalism works. the government should not regulate because then communism happens and that leads to even more freeloaders on wellfare, while hardworking people have to carry the country.",0,0,1
248,116,1,1,"I do think economic inequality is somewhat of a problem in the United States, but not nearly as big of a problem as other countries. I do think there is a gap, but the gap is created to some degree from the skill level of the jobs in question. I think that minumum wage should be increased to help the wage gap considering a large portion of the wage is taken by taxes.",1,0,0
252,117,1,1,I THINK ECONOMIC INEQUALITY IS SOMETHING SHOULD BE CHANGED. ITS STIMPLE THOSE WHO WORK HARD SUCCCESDS.,0,0,0
256,118,1,1,"I think that the gap between the rich and the poor is unfortunately large. However, I do not think that the U.S. government should pursue any intense measures to lessen the gap. Personal property is one of the cornerstones of our society; to undermine it would be detrimental.",0,0,1
259,119,1,0,"I don't (nor do I care to) know enough information about economic inequality and the pros and cons behind it to provide a valid answer.  If I even attempt to answer this question, it would just showcase my ignorance on the subject.  I'll pass.",NA,0,0
263,120,1,0,"I honestly have no personal opinion on this topic because I am not fully informed on it. I think if the government feels it is necessary they should consider it but people would need to vote on it. I feel that some of these issues are controlled by people themselves. Some people worked extremely hard to be in the socioeconomic standing that they are while others received money but still worked hard to be where they are. I know that some people are born into a ""world"" where their family does not have money or is not able to afford certain things in life but I honestly feel that those who are doing well in life should be penalized. I understand that people who have more money should be taxed more in comparison to people that don't but I think that people shouldn't be forced to reduce their economic wealth even though they may have earned every penny of it.",1,0,0
266,121,1,1,"I think athletes might make too much, but eveything else works. I do not think the government should pursue policies because someone should work their hardest to be paid what they deserve.",0,0,0
269,122,1,0,"the problem in America is that inequality result in the low SES the government should have a policy of caring poor people with reducing taxes, etc",1,1,0
271,123,1,0,"I do not think that economic inequality is a problem in the US, however I think the opportunities provided to all are not equal and unfair in a means to be sucessful.",0,0,0
274,124,1,1,"I do think that economic inequality is a problem in the united states, but with the current state of our government I do no think political action will be able to be effective toward helping decrease economic inequality. Rather than a political problem, this problem seems like more of a moral one that is more likely to be helped by the public or private interests rather than the government at this point (like charity organizations and the encouragement toward the rich to contribute to helping the poor)",1,0,0
281,125,1,0,I do believe that economic inequality is a problem not only within the USA but throughout the world. I do but I am not sure how.,1,0,0
285,126,1,0,i do think economic inequality is a problem. What the government can do is offer consulors and psychological support. I think a part of the reason why people stay poor is a mental issue.,1,0,0
287,127,1,0,"I think so, because it will help the country's develpment",1,0,0
290,128,1,1,"I think that economic inequality is a problem in the United States in the respect that individuals are treated unequally. I think that an individual with $30 to their name can be just as happy as one with $500 to their name, however the outside pressures are the sources that seek to tear that happiness down. I think that the government would pursue policies to reduce economic inequality, although I don't feel that it has to. For example, I thinkt that ObamaCare was a program that tried to do just that for the health insurance sector of our nation. However, I don't feel that as an overarching scheme, it is the government's responsibility to give wealth to individuals simply because of economic inequality. The inequality comes in when individuals are treated differently - something that often stems from a multitude of other traits such as behavior and appearance. Although it's true that money can sometimes solve one's problems, I don't think it should be seen in such a way that it requires a holistic change in this sector. I think that each individual person should do a better job of changin thier attitudes",1,0,0
294,129,1,1,"I do not think economic inequality is a problem, because everyone have right to earn money and have a better life. I have no idea about other question.",0,0,0
298,130,1,1,"Yes, it is a poblem in US. Goverment should pursue the policies.",1,1,0
300,131,1,1,I would like there to be less of a gap between the rich who hold the majority of the wealth and others who can barely afford to clothe themselves because it seems unfair.,1,1,0
303,132,1,0,"Income inequality is a problem in the United States. The government should pursue policies to redistribute wealth. I believe this should be done by raising taxes of upper class individuals and corporations, and lowering taxes of the lower and lower middle classes significantly.",1,1,1
307,133,1,0,I do think the economic inequality gap is a problem. Yes i think they could pursue fixing the problems. I do not know enough infomation to make a comment on any policies,0,1,0
311,134,1,0,I believe that the government should ensure wages are enough to live on and should have a minimum wage but most minimum wage jobs are not meant to be careers,1,1,0
315,135,1,0,I do believe that economic inequality is a problem and the governemnt should try and pursue policies to help that. There is the option of trying to raise taxes on the wealthy and keep it low for the poor.,1,1,0
319,136,1,0,"I believe that economic inequality is currently a problem in the Uninted States, and has been a problem for the better part of the country's history. An impartial and honest government body should pursue to close the size of this income gap as much as possible, as this action is parallell to what many believe the American Dream is. A positive first step that I would like to see would be equal pay among male and females. I support my position of the basis of being an economics student, and actually having conducted labor market research on the income gap. It is an analytical fact that females and minorities substantially outnumber white males, or the ""majority"" in the lower two quartiles of the income scale.",1,1,1
321,137,1,0,"yes I do think there is an economic inequality problem in the US because you have many people doing necessary and important jobs that don't get paid near enough. Also taxes wise, the rich should be taxed more than the poor and substantially more. There has to be a change because people like teachers which in my opinion are one of the most important people in the community only get an average of 60 K a year and that is not right as they are raising our youth and upcoming generations. The rich should not just get richer while the poor suffer year in and year out. There has to be some kind of stability.",1,1,1
324,138,1,1,"I do not see economic inequality as a problem in this country. It is not that I believe it is a good thing, I just do not know how you would fix it. I do not believe the government should intervene anymore than it has already. When the government intervenes it causes everything to cost more, and for unemployment to go up. I can not think of any policies that I would want implimented that are not already in place.",0,0,0
328,139,1,1,i think that it becomes much easier once rich to take advantage of others or thier situations to help add to their exiting wealth without also allowing the poorer too make more money aswell. i dont know what policies the government could use but i would be interested in hearing.,1,1,0
332,140,1,1,"Yes I think that economic equality is a problem in the united states because people like Amazon's CEO can make billions of dollars, more than they could every feasibly spend, while other people have to live in cars because they can't afford a roof over their head. The US government should increase the income tax for these people as well as not allow corporations to outsource jobs to countries where labor is cheap and dangerous for the laborers.",1,1,1
335,141,1,0,I do believe there is a huge gap between the wealthy and the poor in the U.S. Just looking at one of the wealthiest people in the US. They won't donate some of their wealth towards Flint as they continue to struggle.,1,1,0
337,142,1,0,Economic inequality is a problem in the United States. We do not have equality regarding the status of people in this country.,1,1,0
341,143,1,0,"Economic inequality is definitely a problem in the United States. This is evident just in the division between urban and suburban areas. The school districts are durastically different, the neighborhoods do not have the same funding, the streets, even the police officers act different depending on which neighborhood he or she is in. I do not believe the governement of the United States will pursue policies to reduce economic inequality because they like to see the division between the rich and poor, the minority groups and white people. The govt is ran by whites and they want to remain on top at all cost. A policy i would like to see implemented would be to actually have fair trials when it comes to a police officer shooting and killing a black male. Too often are the officers let off with a pay cut or they are simply dismissed from their position when they need to be in jail with the rest of the murderers. Just because a badge is being worn does not",1,1,1
345,144,1,0,"I believe that there is economic inequality in the United States and that it is a problem among the rich and the poor. Rich people often pay less in taxes because they do have so much money, while the poorer population has to pay much more out of there already small income. The government should work to reduce economic inequality and provide more available jobs to people in need. This would continue to help the economy grow, as well as, allow the people in need to have some income to support themselves and their families.",1,1,1
104,145,1,1,I don't know much about this topic but I believe if individuals work hard for their mone that have the right to keep it. Others may be born in poorer/harder conditions but sometimes you just have to work with what you're given. Economic equality is just another term for communism and I'm not paticularly a fan. I think diversity in wealth/income is good for the economy. Life isn't fair and money isn't always easy to come by.,0,0,1
111,146,1,0,"economic inequity is a problem in the us because the different in come and wages of the wealth class has such a huge gap it makes it difficult for people the survive day by day. the government should reduce economic inequity to provide a more financially stable economy and income in society. policies of taxing based on ones income should be implemented therefore, everyone gets the same rate based on their financial situation.",1,1,0
117,147,1,0,Economic inequality is definetly a problem in the US. The governemnt should pursue policies to reduce economic inequality but they won't. I'm not to versed on politics to know what should be implemented but they should create  a cap on rent prices/housing prices. This will make it easier for people to find homes once they do make enough money.,1,1,0
119,148,1,1,I don't think so. I don't want to see any policies implemented. I am a conservative.,0,0,0
131,149,1,0,"Yes, I think economic inequality is a problem in the United States.",1,0,0
134,150,1,1,"Economic inequality is a large problem in the United States. There is such a wide disparity between the upper class and the lower class, it seems imposible for the lower class to ever be able to rise up in terms of wealth. The government should pursue policies to reduce economic inequality in this country. I'm not too knowledgable about possible policy solutions to this problem, however.",1,1,0
136,151,1,1,"yes, I think that economic inequality is a problem in the United States. But somewhere is true, it is not the country fualt, becuase if poeple does not want to try hard to earn thing, do not think it is the goverment's fault.",0,0,0
141,152,1,0,"I believe that econinc equality is a problem in the United States. I think the government should pursue policies to reduce economic equality in this country. I believe certain policies should be made to even the playing field especially when it comes to education. The economic inequaties make it extremely difficult for minorities to seek a higher education and find jobs that will enable them to reach a higher economic status. At some point, we have to recognize that many people in our country are at a disadvantage and it is not that they aren't hard working it is circumstational.",1,1,1
145,153,1,0,"I do think ecenomic inequality is a probelm in the United states, I do think that the government should pursue policies to reduce economic inequality. I think that people aren't getting paid enough and I think the rich are getting paid too much. i don't like how people aren't getting paid a lot of money but everything is becoming suoer expensive. It's getting harder and harder to be able to afford things unless you're rich. I think that the government should write policies that would either tax the bigger companies more money or lower the cost of living.",1,1,1
148,154,1,1,"No, economic inequality is part of captitalism. People who are hard working will be successful than people who dont.",0,0,0
152,155,1,1,"I think the US does have an economic gap, but other countries have it much worse.",0,0,0
154,156,1,1,"Economic inequality is one of the biggest problems face by the United States at this time. Due to this there has been an increase in the crime rate in the past few years. Government should definetly persue to reduce economic inequality in the country. Higher wages for an average individuals. Taxes based on the income of the person instead of a fixed tax rate for everyone.Income disparity is one of the biggest problems facedd by countries nowadays and many countries have taken steps to face this issue head on. United States is the one of the only few countries lagging behind and not only does this affect the average individual, it also hurts the country's economy.",1,1,1
159,157,1,0,"I do not think the United States should implement policies that reduces economic inequality. While not true in all cases, most people work hard for their money. If policies are implemented to equalize income for all people, there is no incentive to work hard since everyone will get about the same income. This will hurt our economy.",0,0,1
163,158,1,0,"I thnk economic inequality is a problem, but necessary to maintain a stable economy.",0,0,0
165,159,1,0,"I do believe that there is a gap between the incomes of the rich and the poor, however I would not go as far as to label it inequality. If the government were to implement some way as to reduce the gap, I would like to see the government put more towards eliminating unemployment and working to supply more jobs to those who are looking for them. However, I believe the bigger problem is many individuals do not desire to work, in this case unfortunately not much can be done to assist these people. Due to this, I believe that helping to provide jobs for those who are actually looking to work and need help finding the right job, would be the best course of action.",0,0,0
168,160,1,1,Yes economic inequality is an issue in the US,0,0,0
169,161,1,0,"Economic inequality may be a problem in some specific areas, but I do not feel it is that bad across the whole country. I do not think the government should intervene to reduce economic inequality because in my opinion it is not just to take wealth from a group and distribute it to another without the donor group's full approval and willingness to do so. If economic inequality is truly an issue, it is is a societal problem, and the people with the wealth that can be distributed should find it in themselves to fix the problem. If a policy must be implemented, it should reward those who do decide to distribute their wealth and should not punish those who decide not to. I cannot think of a specific policy that wouldn't put the people with wealth in a position where they are not kind of forced to do it.",0,0,1
172,162,1,1,"I personally believe there is a very prevalent issue in the United States with economic inequality. The possible policy or legislation that should be put forward is salary equality for the same occupation. It is proven that minorities (of gender and race) are paid less than white men. The welfare system needs some adjustments as well, as a friend of mine used to be on food stamps, but regularly ran out because there are four people in his family. I also firmly believe that those that are the richest in our country should be taxed more, and those within the population that are surrounding the poverty line (less than 25,000 a year I would think) should pay less in taxes. I also think that university is a huge sign of priviledge and should be less expensive, as to give a better chance to those that do not have the sort of funds to pay for public college. It is well known that people with college degrees get better paying jobs, so the US should make college less expensive.",1,1,1
183,163,1,0,It is not a problem in the US. The government should not be involved in the daily lives of the people unless they are doing harm to someone else. Let business manage themselves and the markets will take care of as many people as possible. Socialism has failed every time it's been tried.,0,0,1
185,164,1,0,"I think that economic inequality is a problem in the United States. There is a very large gap between the rich and the poor. I think that there should be policies put in place to reduce economic inequality in this country. Most policies wouldn't work becuase the rich just have ways of bypassing the laws via their money and power. I think that some sort of tax (which is farfetched) or some degree of a annual cap should be put on. Like once the annual income of someone reaches $1 million, for example, they are then taxed more on the rest of their income in order to help cut the gap.",1,1,0
190,165,1,1,"I think that there is a large disparity in economic equality in this country. The government should definitely pursue policies to reduce this inequality. One such policy that they can implement is a higher tax on the wealthy. People who make hundreds of millions or billions of dollars will not spend all this money, and by taxing them, economic equality can be restored. I support this because middle income salaries are stagnating, which is the majprity of the population, and everyday this inequality grows, the harder the lives of the middle class get. Middle income parents have to work more than one job each just to put food on the table and keep the lights on, but the uber wealthy in this country benefit off their hardwork and keep getting wealthier.",1,1,0
194,166,1,1,no,0,0,0
197,167,1,0,"yes, the difference in the wealth leads to the difference in education. They should do some action, but it is hard to solve this problem not matter in America, but also in the world.",1,0,0
201,168,1,0,"I do believe that economic inequality is a problem in the US. I think our government should pursue policies that would lessen this gap. I would like to see the wealthy taxed more, and have their money go to food banks and homeless shelters. Homelessness is a huge problem in our country, and no one should be wondering where their next meal is coming from or where they will be sleeping that night if there are people in their community able to help them.",1,1,0
205,169,1,0,I think that economic inequality is a problem in the united states due to the shrinking middle class. The government should tax the rich more and increase minimum wage to stop this,1,1,0
208,170,1,1,"No, there are enough programs to help those in less favorable circumstance. If you want a better life, work for it. There are a ton of social welfare systems that support underprivilaged communities.",0,0,0
217,171,1,0,I think that economic inequality is a problem in the United States. There is a huge gap difference between the rich and the poor. The government should create a policy that makes rich people pay more money in the taxes rather than paying the same amount of lower class people.,1,1,0
219,172,1,0,"the Eccnomomic inequality is a problem and I think that the government of the United States should, in fact, pursue policies to reduce economy.",1,1,0
223,173,1,0,"I do think that economic ineqaulity is a huge problem in the US, with the rich getting richer while the poor stay poor. I think the government should pursue policies to reduce economic inequality in this country, by passing policies that will give help to the working class and give them more opportunities to rise in their career. Things in America have changed drastically over time. I think only the rich are given opportunities to prosper.",1,1,0
227,174,1,0,yes yes become ussr,0,0,0
231,175,1,0,"I think that economic inequality is a problem in the US. I think the government should, and could, take steps to reduce inequality. One of the easiest ways to do this is to increase taxation of the wealthy while increasing minimum wage. Without an increase in minimum wage, there will be a perpetual cycle of poverty that one cannot escape from. It can be easy to say ""just go learn a trade"" but if you have to work multiple jobs, this is often impossible. I think if we were truly devoted to reducing economic inequality, we would have people of a wide variety of economic standpoints representing the government rather than just the rich people who can afford the education and steps necessary to reach office.",1,1,1
235,176,1,0,I believe that income inequality is a problem in the United States. I believe that the government should pursue policies that provide lasting support for those impoverished and not just handouts. I support these positions because I feel that if these people are lifted out of poverty then it will have a ripple effect to their offspring. Once these people are given the opportunity they will no longer need government subsidies.,1,1,0
238,177,1,1,"I do not think economic equality is that big of a problem in the United States. I believe that most people have a pretty fair shot at making the money they need to make, and it is just bad luck for those that don't have that opportunity. I don't feel that it is the responsibility of others, including the government, to make up for those that are lesser off than others. I think that money should be spent elsewhere, such as education and science, rather than putting it in places to help people who weren't willing to put in the effort for themselves to get a life.",0,0,1
242,178,1,1,No economic inequality is not a problem in the us. No i do not think that the government should pusure policies to reduce economic inequality. I think economic inequality is a myth. A persons economic status is directly correlated to their drive and work ethic.,0,0,1
245,179,1,0,I think that economic inequality is one of the biggest issues in America today. The issue stems more from beliefs and prejudices of individual employers much more than it comes from policies put in place by the government. There are no laws preventing women or people of color from holding positions of power or owning vast amounts of wealth. The lack of these kind of people in the top tier of wealth comes from stigmas and biases of our culture as a whole. If employers did and customers alike did not judge people on their race and gender I think that the wealth would be more evenly distributed.,1,1,0
249,180,1,0,"Economic inequality is a serious problem in the united States so it causes a lot of chaos. When a poor's life is so different with riches, he may started hating the rich group, and he will do some excessive thing like killing or stoling. They may think that I am also try my best to live but it is so unequal that I cannot have a good life like thouse riches who do not hard-wroking and can get good results. In order to avoid the attitude of these persons, the government should reduce economic inequality like giving the poor more opportunities to find good jobs, providing the tuition to their children and giver them the chance to accept higher education. Education can change fate sometimes, so the inequality between economy can be reduced a little.",1,1,0
253,181,1,0,"i dont know much about the topic, but i do believe that economic inequality is an issue in some sense. I dont know what policies could be implemented, but i do think that the governemnt could do something to address poverty, as i feel that often times it is not totally a persons fault that they are in poverty, and that the system is set up so it is hard to get out of poverty. I dont think that the government should necessarily take money away from those who have worked for it, but i think that they could maybe take action to make it easier for poorer people to live comfortably",1,1,0
257,182,1,0,"I believe inequality is a problem as there are many people struggling to receive the necessary means and resources for success. This is a hindrance to their abilities. I think the government should tax the wealthy more becuase they have everything they need and at a certain point, money does not buy anymore happiness. Those receiving aid should have the opportunity to succeed, but not be given money routinely so they are not abusing the source. Rather they should be working to put themselves in a position to acquire wealth.",1,1,0
260,183,1,1,I do think that economic inequality is a problem in the United States.  The gap between the rich and the poor has been increasing over time and it is really damaging parts of society.  It is harder to move up classes and get out of the poverty cycle; the 'American Dream' is staying a dream instead of a reality like it used to be.  There is also still a gender gap which is clearly unfair and has no reason to be present in our society.  I am not sure what exact policies should be enacted but I do think it is important to give to the less fortunate and to tax people with higher incomes a greater amount.  It is important to help small businesses and foster a sense of belonging and community as a whole in the US.,1,1,0
264,184,1,1,"Although I did not live in America for a long time, Economic inequality exist in every country, some are light, some are serious. In my opinion, America's Economic inequality is more severe than most of other country. Although it is a problem, it cannot be solved in a short time. The society balance is still the first thing to keep since inequality would not be extincted. With the overal education level increase, the inequality would decrease, making the society better without any laws published. Increasing the education level for those poor people is a good way to narrow the inequality. The more knowlede they have, the more ways they can find to survive and become wealthy instead of performing crime.",1,1,0
267,185,1,0,"Yes, economic inequality is a large problem that has remained a prevalent issue throughout the history of the United States. The government should pursue policies that reduce this economic inequality, for example they should increase taxes for the rich. This would create a more level playing field, as taxation should be based on income and not be flat.",1,1,0
272,186,1,1,"Yes, because people are getting discriminated daily. Yes, I think the government should so that there can be some stablity.",1,1,0
275,187,1,0,"I think that economic inequality is a problem in the United States, and that the federal government should take action to combat it.  I would like to see higher estate taxes on the wealthy to fund more welfare because families with more money are more likely to continue to make more money, so the gap would increase, plus the family members of the deceased person did not work for that money, so it should go to helping others.",1,1,1
279,188,1,0,"Economic inequality is not a problem in the US. It exists, but it does not prevent anyone from having the same chance at being successful. America is one of the countries with the most economic freedom in the world, and I don't think the government should get involved. The poorest people in America have access to more resources and oppurtunities than the majority of the rest of the world. The rich continue to get richer, but they also provide a lot for the economy. People are against this but it doesn't make the poor people any poorer, if anything it helps them have economic options for coming out of poverty.",0,0,1
282,189,1,1,"Economic inequality is a problem in the united states. I do believe that the government should pursue these types of policies. Policies that can help poverty, because poverty is a huge problem in the city I am from.",1,1,0
291,190,1,0,"I think it is a problem and the government should attempt to give help.  They could do this by either creating more jobs, raising wages, or giving more aid to the poor.",1,1,0
295,191,1,0,"I do think economic equality is a problem in the United States. I think the government should pursue higher taxes and social welfare programs to reduce this inequality. I am in support of higher taxes for the 1%, universal healthcare, and universal basic income. I think implementing these policies would lead to a more educated and happy society that would be more productive, conscientious, and unified.",1,1,1
301,192,1,0,Economic inequality is a problem in US. It is not government's responsibility to redeuce the imequality. People could work hard to change the situation. They can be rich by working hard.,0,0,0
304,193,1,1,"I do not think that economic inequality is a problem in the United States. It is grossly misinterpreted. People fail to realize that the top 0.7% of people pay for approximately 27% of the taxes. Furthermore, the top 20% pay for approximately half of the taxes. If we were to fix the inequality, people would start to complain that they are suddenly paying too much in taxes, because the slack from their end is no longer being picked up by the wealthier minority. In fact, indiviudal income tax accounts for approximately 36.5% of the revenue from taxes. Meanwhile, corporate tax is actually accounts for lower than this. In my opinion, corporates who we fear have too much power or influence should receive more of the tax burden. They are usually are forgotten however, because of media that is targeted towards the wealthy individuals and not the wealthy corporations.",0,0,1
308,194,1,1,"I think it is a big problem, but I don't think the government should overstep too much. A baseball player just signed a sports contract for hundreds of millions of dollars and that's simply unnecessary. But if there is a living wage too, that can hurt small businesses that can't afford it. So I don't really know what the solution is.",1,0,0
312,195,1,1,"It is a problem in the united states. The government should tax the rich (million+) at a higher rate than middle class. Regulations on bonus, buyout/buyback programs.",1,1,0
316,196,1,1,"Economic inequality is absoluteley an issue in the United States there are groups of people with far more money than they could ever reasonably spend while others live in poverty. Yes the government should implent policies, in my opinion the billionare tax that's being discussed could do alot of good for this country.",1,1,0
322,197,1,1,"Economic inequality is a problem in the United States. I believe that while the government should take some steps to reduce economic equality, the issue lies more with the culture of the country. You should not be punished for having a large income, but you should be encouraged to spread the wealth. I don't know how the details would play out, but a possible policy could be to encourage corporations and companies to pay their employees a larger amount by reducing taxes. Ideally this would play out where the company walks away with the same, or slightly greater, profit and employee pay increases. This way the company could be swayed to increase payroll without hurting their bottom line. This could also be used with benefits such as health or life insurance because this would increase the quality of life for employees while potentially giving them better insurance than they could reasonably afford due to the bargaining and bulk buying power of a larger company.",0,1,0
325,198,1,0,"I think the gap is definitely substantial and a problem. I think it is the governments job to break the cycle of poverty because private organizations will not be able to effectively compete in a capitalistic society and help out the poor at the same time. Capitalism makes it so that organizations constantly have to worry about the bottom line and increasing efficiency and it also rewards those who are already at the top in an exponentially growing way. Because of this and the tendency of humanity towards greed, there is no one else besides the government who can effectively look out for those who are stuck in the cycle of poverty and cannot pull themselves out. The government should fix this by increasing welfare programs and decreasing tax rates for those in low income tax brackets, at the very least.",1,1,1
329,199,1,0,I think that economic inequality is a problem in the U.S. The government needs to address the issue of homelessness in order to decrease this gap.,1,0,0
333,200,1,0,"I think inequality is a problem in the United States. Although it may not be as bad as other countries, the wealthiest people in the United States are very wealthy and the United States could implement a better solution to fix this inequality because they have the resources. I think the US Government should be the one to enact change for this.",1,1,0
336,201,1,1,"I don't think econimic inequality is a problem, because people who are rich must experience some obstancles in their past. They are motivate, try to find soultions with meeting problem instead of avoid them. Moreover, rich people can serve as a goal for the poor to pursue.",0,0,0
338,202,1,1,"I think it's a problem that there aren't more ways to help the poor. Some rich people do deserve their wealth because they have a successful business, but it seems too hard for a poor person to find a way above  the poverty line once they are below it.",1,0,0
342,203,1,1,"Yes i think that economic equality is a problem in the United States. the government of the united states should pursue policies to reduce economic inequality in this country. I would like to see the rich getting paid a little less and the poor (if they have jobs) to be getting paid a lot more because the rich already have so much money and are getting so many benefits meanwhile if you are poor, you get paid less because you don't have as high of a position as rich people. it's hard for poorer people to get the jobs of richer people as well because they are poor.",1,1,0
346,204,1,1,"Economic inequality is a huge problem in the United States. The wealthiest people in the world make up less than 1% of the population, and so many other people are  barely making enough money to live comfortably. I do think that the government should pursure policies to reduce economic inequality in this country. As far as policies, wealthier people should pay higher taxes and I truly believe that they should have to contribute to communities that are at more of a disadvantage then their own. I support these positions because it just is not fair that there are people in this country that are starving, homeless, or uneducated while other people own a home bigger than what they need, have more than one vehicle, and more than enough money to live comfortably. If we are a nation under God, indivisible, and liberty for all then there would not be such a huge gap between rich and poor. It is a problem that should and must be addressed.",1,1,1
100,205,1,1,"As a man who comes from a family of immigrants who struggled to make ends meet, I do think that there is an economic inquality problem in the United States. The government could try to pursue policies but what good would that do. Major businesses own that portion of the sector so it is not like the government can do anything except maybe tax the rich more. I just find the descrepency from celebrities and those who actually do good work for the country and its people is way too high. Policemen and firemen risks their lives and get paid a small sum for it. The same goes for teachers whom have the job of educating future generations but get paid so little for it.",NA,1,1
110,206,1,1,"I think that economic inequality definetely exists in the United States, but I'm not so sure that it is a big problem. I think that there should be systems in place, such as welfare, to help poor people get stabilized, but at the same time I don't think that rich people should be punished just for being rich. Usually, if you have a lot of money, it is a result of years of hard work and determination. That money is earned, so it doesn't make sense to take even more of that away from a successful person just because others may not be doing so well. If they feel inclined to help them out, through things such as charity, that's amazing, but it should not be mandatory, as everyone has free rights.",0,0,0
113,207,1,0,"I do not think economic inequality is a big problem in the United States; the federal and state governments should not intervene. While it certainly exists, I believe economic inequality is inherent with capitalism. People who take risks, succeed, and are more talented will have more wealth than others. If you provide a service that is valued more in the economy, you will be more prosperous. The gap between rich and poor has widened a bit, however, everyone is better off. Those who complain about how unequally distributed the income in the US should be thankful that their income is increasing, not that the income of the rich is increasing more. The more the government tries to make everyone equal, the worse off everyone wil be.",0,0,1
118,208,1,1,"Yes, I do think that the US goverment should pursue policies to reduce economic inequality.",0,1,0
127,209,1,0,"Yes I think the wealth gap is a problem in the United States.I believe this because the top 10% of wealthy people have more money than most of the middle class and lower class combined. I think it is horrible that it is like this, but I think it would be hard to create economic equality without being communistic.",0,0,0
